Camp Name,Contact Name,Phone Number,Email,Director(s),Location
Marks JCH Summer Day Camp (JCCA), ,(718) 943-6345,camp@jchb.org,Nataliya Avvento,"7802 Bay Pkwy, Brooklyn, NY 11214-1508"
Fair Lawn Jewish Day Camp, ,(201) 791-7200,Office@fairlawncamp.com,Rabbi Mendel,"70 W Century Rd, Paramus, NJ 07652-1454"
West Side YMCA,Angel Toliver,(212) 912-2643,atoliver@ymcanyc.org,Caroline Sanchez,"150 W 105th Street, New York, NY 10025-7162"
Chinatown YMCA,Hester Site,(212) 219-8393,nloza@ymcanyc.org,Narcisa Loza,"273 Bowery, New York, NY 10002-1201"
Harbor Hills Day Camp,Mike McKeown,(973) 895-3200,info@hhdc.com,Mike McKeown,"75 Doby Rd, Mendham, NJ 07945-2122"
Rutgers Rec Kids Day Camp,Kristen Imbimbo,(848) 932-0701,kristen.imbimbo@rutgers.edu,Kristen Imbimbo,"50 Biel Rd, New Brunswick, NJ 08901-8507"
Summer Discovery Camp, ,(973) 758-9622,, ,"13 Jefferson Ave, Maplewood, NJ 07040-1335"
Greenpoint YMCA Summer Camp,Sarabeth Velez,(718) 389-3700,,Sarabeth Valez,"189 Driggs Avenue, Brooklyn, NY 11222"
Staten Island/South Shore YMCA Day Camp, ,(718) 227-3200,cbayiokos@ymcanyc.org,Cynthia Bayiokos,"1465 Manor Road, Staten Island, NY 10314"
White Pines Day Camp, ,(973) 758-9622,, ,"1 Pike Dr, Wayne, NJ 07470-2443"
Somerset Hills YMCA,Kimberly R de Zutter,(908) 630-3504,kdezutter@somersethillsymca.org,Kimberly R de Zutter,"140 Mount Airy Rd, Basking Ridge, NJ 07920-2066"
Global Arts Camp, ,(972) 758-9622,, ,"13 Jefferson Ave, Maplewood, NJ 07040-1335"
Vanderbilt YMCA Summer Camp,Paul Crawford,(212) 912-2521,pcrawfoed@ymca.org,Paul Crawford,"224 E 47th St, New York, NY 10017-2102"
Teen Adventure Camp,Camp Director,(972) 758-9622,tdonaldson@metroymcas.org,Tommy Donaldson,"67 Orchard Rd, Maplewood, NJ 07040-1928"
Kiddie Keep Well Camp,Cindy Robertson,(732) 548-6542,clrobertson@juno.com,Cindy Robertson,"35 Roosevelt Dr, Edison, NJ 08837-2334"
McBurney YMCA Day Camps,Karen Corcerado,(212) 912-2315,kcarchado@ymcanyc.org,Pam Navarro and Jacqueline Misla,"116 W 11th Street, New York, NY 10011-7302"
Dodge YMCA,Ruth Chan,(718) 625-3136x2414,rchan@ymcanyc.org,Nayira Polanco,"419 Waverly Avenue, Brooklyn, NY 11238"
